year,registry_group_number,registry_group_name,region,prov_terr,district,pop_on_reserve_crown_land_men,pop_on_reserve_crown_land_women,pop_on_reserve_crown_land_total,pop_off_reserve_men,pop_off_reserve_women,pop_off_reserve_total,pop_total_men,pop_total_women,pop_total_total
2022,61,The Crees of the Waskaganish First Nation,Quebec,Quebec,Quebec District,1217,1210,2427,240,236,476,1457,1446,2903
2022,62,CommunautÈ anicinape de Kitcisakik,Quebec,Quebec,Quebec District,202,201,403,62,63,125,264,264,528
2022,63,Nation Anishnabe du Lac Simon,Quebec,Quebec,Quebec District,947,917,1864,206,232,438,1153,1149,2302
2022,64,Timiskaming First Nation,Quebec,Quebec,Quebec District,334,335,669,957,1092,2049,1291,1427,2718
2022,65,Kebaowek First Nation,Quebec,Quebec,Quebec District,145,150,295,433,442,875,578,592,1170
2022,67,Long Point First Nation,Quebec,Quebec,Quebec District,263,264,527,207,226,433,470,490,960
2022,68,Wolf Lake,Quebec,Quebec,Quebec District,X,X,X,X,X,X,135,136,271
2022,69,Mohawks of Kanesatake,Quebec,Quebec,Montreal District,647,736,1383,704,817,1521,1351,1553,2904
2022,70,Mohawks of Kahnaw·:ke,Quebec,Quebec,Montreal District,3999,4109,8108,1616,1832,3448,5615,5941,11556
2022,71,PremiËre Nation des AbÈnakis de WÙlinak,Quebec,Quebec,Quebec District,51,74,125,239,274,513,290,348,638
2022,72,Odanak,Quebec,Quebec,Quebec District,142,144,286,1242,1399,2641,1384,1543,2927
2022,73,Kitigan Zibi Anishinabeg,Quebec,Quebec,Quebec District,841,834,1675,1013,1172,2185,1854,2006,3860
2022,74,Algonquins of Barriere Lake,Quebec,Quebec,Quebec District,311,304,615,85,93,178,396,397,793
2022,75,Cree Nation of Mistissini,Quebec,Quebec,Quebec District,1975,1991,3966,119,138,257,2094,2129,4223
2022,76,PremiËre Nation des Pekuakamiulnuatsh,Quebec,Quebec,Pointe-Bleue District,1076,1049,2125,3624,3803,7427,4700,4852,9552
2022,77,Conseil des Atikamekw de Wemotaci,Quebec,Quebec,Pointe-Bleue District,813,759,1572,250,258,508,1063,1017,2080
2022,78,Les Atikamekw de Manawan,Quebec,Quebec,Pointe-Bleue District,1335,1281,2616,190,261,451,1525,1542,3067
2022,79,Atikamekw d'Opitciwan,Quebec,Quebec,Pointe-Bleue District,1413,1170,2583,264,308,572,1677,1478,3155
2022,80,Innu Takuaikan Uashat Mak Mani-Utenam,Quebec,Quebec,Quebec District,1844,1858,3702,617,672,1289,2461,2530,4991
2022,81,Naskapi Nation of Kawawachikamach,Quebec,Quebec,Quebec District,361,363,724,33,40,73,394,403,797
2022,82,Les Innus de Ekuanitshit,Quebec,Quebec,Quebec District,312,346,658,22,22,44,334,368,702
2022,83,PremiËre Nation de Whapmagoostui,Quebec,Quebec,Quebec District,585,562,1147,38,67,105,623,629,1252
2022,84,Montagnais de Unamen Shipu,Quebec,Quebec,Quebec District,625,573,1198,30,30,60,655,603,1258
2022,85,Bande des Innus de Pessamit,Quebec,Quebec,Quebec District,1425,1503,2928,548,652,1200,1973,2155,4128
2022,86,Innue Essipit,Quebec,Quebec,Quebec District,131,120,251,563,609,1172,694,729,1423
2022,87,La Nation Innu Matimekush-Lac John,Quebec,Quebec,Quebec District,454,457,911,70,64,134,524,521,1045
2022,88,Montagnais de Pakua Shipi,Quebec,Quebec,Quebec District,X,X,391,X,X,10,207,194,401
2022,89,OujÈ-Bougoumou Cree Nation,Quebec,Quebec,Quebec District,415,399,814,45,74,119,460,473,933
2022,95,PremiËre Nation de Whapmagoostui,Quebec,Quebec,Quebec District,482,462,944,46,40,86,528,502,1030
2022,120,Mississaugas of the Credit,Ontario,Ontario,Southern District,479,521,1000,842,914,1756,1321,1435,2756
2022,122,Chippewas of Nawash First Nation,Ontario,Ontario,Southern District,353,378,731,983,1108,2091,1336,1486,2822
2022,123,Saugeen,Ontario,Ontario,Southern District,435,419,854,528,575,1103,963,994,1957
2022,124,Big Grassy,Ontario,Ontario,Western District,161,139,300,260,315,575,421,454,875
2022,125,Anishnaabeg of Naongashiing,Ontario,Ontario,Western District,104,106,210,123,128,251,227,234,461
2022,126,Couchiching First Nation,Ontario,Ontario,Western District,380,387,767,1044,1093,2137,1424,1480,2904
2022,127,Lac La Croix,Ontario,Ontario,Western District,175,153,328,82,98,180,257,251,508
